RadioRA 2 Integration Report

Device Room, Device Location, Device name, Model, ID, Component, Component Number, Name
, , , , , Button 1, 2, LhsBdrm 100%
, , , , , Button 2, 3, Toggle Auto
, , , , , Button 3, 4, LhsBdrm 0%
, , , , , Button 4, 5, LhsBdrm Up
, , , , , Button 5, 6, LhsBdrm Down

MotionSensors, RhsBath-MotionSensor, Device 001, LRF2-OCR2B-P-WH, 49

Den, DenLampPico, DenLamp-Pico (A), PJ2-3BRL-GWH-L01, 50
, , , , , Button 1, 2, FULL
, , , , , Button 2, 3, Toggle Auto
, , , , , Button 3, 4, Off
, , , , , Button 4, 5, DLamp Up
, , , , , Button 5, 6, DLamp down

RhsHall, NA-RhsClosetMotionSensor, Device 001, LRF2-OCR2B-P-WH, 60

Den, NA-PantrySensor, Device 001, LRF2-OCR2B-P-WH, 69

MotionSensors, LhsBath-MotionSensor, Device 001, LRF2-OCR2B-P-WH, 72

Primary, Credenza, Control-Primary15ButKpad, RR-T15RL-SW, 73
, , , , , Button 1, 1, ALARM
, , , , , Button 2, 2, PANIC
, , , , , Button 3, 3, FLASH
, , , , , Button 4, 4, QUIET
, , , , , Button 5, 5, AWAY
, , , , , Button 6, 6, Guest Auto
, , , , , Button 7, 7, Den Auto
, , , , , Button 8, 8, Main Auto
, , , , , Button 9, 9, Lanai Auto
, , , , , Button 10, 10, Yard Auto
, , , , , Button 11, 11, PARTY
, , , , , Button 12, 12, CHILL
, , , , , Button 13, 13, TV
, , , , , Button 14, 14, NIGHT
, , , , , Button 15, 15, Floor Lamp
, , , , , Button 16, 16, ALL OFF
, , , , , Button 17, 17, CLEAN
, , , , , Button 24, 24, 
, , , , , Button 25, 25, 
, , , , , Led 1, 81
, , , , , Led 2, 82
, , , , , Led 3, 83
, , , , , Led 4, 84
, , , , , Led 5, 85
, , , , , Led 6, 86
, , , , , Led 7, 87
, , , , , Led 8, 88
, , , , , Led 9, 89
, , , , , Led 10, 90
, , , , , Led 11, 91
, , , , , Led 12, 92
, , , , , Led 13, 93
, , , , , Led 14, 94
, , , , , Led 15, 95
, , , , , Led 16, 96
, , , , , Led 17, 97

Den, RhsEntry, Control-KitchenKpad (3), RRD-H6BRL-WH, 80
, , , , , Button 1, 1, Kit Cook
, , , , , Button 2, 2, Kit Chill
, , , , , Button 3, 3, Kit TV
, , , , , Button 4, 4, Den Chill
, , , , , Button 5, 5, Den TV
, , , , , Button 6, 6, TV Wall
, , , , , Button 18, 18, 
, , , , , Button 19, 19, 
, , , , , Led 1, 81
, , , , , Led 2, 82
, , , , , Led 3, 83
, , , , , Led 4, 84
, , , , , Led 5, 85
, , , , , Led 6, 86

Control, Visor CTRL, Device 001, RR-VCRX-WH, 82
, , , , , Button 1, 1, AUTO
, , , , , Button 2, 2, AWAY
, , , , , Button 3, 3, FLASH
, , , , , Button 4, 4, ALARM
, , , , , Button 5, 5, 
, , , , , Button 6, 6, 
, , , , , Led 1, 81
, , , , , Led 2, 82
, , , , , Led 3, 83
, , , , , Led 4, 84
, , , , , Led 5, 85
, , , , , Led 6, 86
, , , , CCI 6, 31
, , , , CCI 7, 32
, , , , CCI 8, 33
, , , , CCI 9, 34

MotionSensors, REP2, Enclosure Device 001, RR-MAIN-REP-WH, 83
, , , , , Button 1, 1, A V O I D
, , , , , Button 2, 2, A V O I D
, , , , , Button 3, 3, A V O I D
, , , , , Button 4, 4, A V O I D
, , , , , Button 5, 5, A V O I D
, , , , , Button 6, 6, A V O I D
, , , , , Button 7, 7, A V O I D
, , , , , Button 8, 8, A V O I D
, , , , , Button 9, 9, A V O I D
, , , , , Button 10, 10, A V O I D
, , , , , Button 11, 11, PrimBath Chill
, , , , , Button 12, 12, PrimBath Clean
, , , , , Button 13, 13, #15 PrimBath Day
, , , , , Button 14, 14, #15 PrimBath Night
, , , , , Button 15, 15, PrimBath Off
, , , , , Button 16, 16, PrimBath Party
, , , , , Button 17, 17, PrimBath Supp
, , , , , Button 18, 18, PrimBath TV
, , , , , Button 19, 19, 
, , , , , Button 20, 20, 
, , , , , Button 21, 21, Primary Chill
, , , , , Button 22, 22, Primary Clean
, , , , , Button 23, 23, #25 Primary Day
, , , , , Button 24, 24, #25 Primary Night
, , , , , Button 25, 25, Primary Off
, , , , , Button 26, 26, Primary Party
, , , , , Button 27, 27, Primary Supp
, , , , , Button 28, 28, Primary TV
, , , , , Button 29, 29, 
, , , , , Button 30, 30, 
, , , , , Button 31, 31, Laundry Chill
, , , , , Button 32, 32, #33 Laundry Clean
, , , , , Button 33, 33, Laundry Day
, , , , , Button 34, 34, Laundry Night
, , , , , Button 35, 35, Laundry Off
, , , , , Button 36, 36, #33 Laundry Party
, , , , , Button 37, 37, #33 Laundry Supp
, , , , , Button 38, 38, Laundry TV
, , , , , Button 39, 39, 
, , , , , Button 40, 40, 
, , , , , Button 41, 41, LhsBdrm Chill
, , , , , Button 42, 42, LhsBdrm Clean
, , , , , Button 43, 43, #45 LhsBdrm Day
, , , , , Button 44, 44, #45 LhsBdrm Night
, , , , , Button 45, 45, LhsBdrm Off
, , , , , Button 46, 46, LhsBdrm Party
, , , , , Button 47, 47, #41 LhsBdrm Supp
, , , , , Button 48, 48, LhsBdrm TV
, , , , , Button 49, 49, 
, , , , , Button 50, 50, 
, , , , , Button 51, 51, Office Chill
, , , , , Button 52, 52, Office Clean
, , , , , Button 53, 53, #55 Office Day
, , , , , Button 54, 54, #55 Office Night
, , , , , Button 55, 55, Office Off
, , , , , Button 56, 56, Office Party
, , , , , Button 57, 57, Office Supp
, , , , , Button 58, 58, Office TV
, , , , , Button 59, 59, 
, , , , , Button 60, 60, 
, , , , , Button 61, 61, Yard Chill
, , , , , Button 62, 62, #65 Yard Clean
, , , , , Button 63, 63, #65 Yard Day
, , , , , Button 64, 64, Yard Night
, , , , , Button 65, 65, Yard Off
, , , , , Button 66, 66, #61 Yard Party
, , , , , Button 67, 67, #65 Yard Supp
, , , , , Button 68, 68, #64 Yard TV
, , , , , Button 69, 69, 
, , , , , Button 70, 70, 
, , , , , Button 71, 71, Lanai Chill
, , , , , Button 72, 72, #75 Lanai Clean
, , , , , Button 73, 73, #75 Lanai Day
, , , , , Button 74, 74, Lanai Night
, , , , , Button 75, 75, Lanai Off
, , , , , Button 76, 76, Lanai Party
, , , , , Button 77, 77, Lanai Supp
, , , , , Button 78, 78, Lanai TV
, , , , , Button 79, 79, Lanai Play
, , , , , Button 80, 80, 
, , , , , Button 81, 81, 
, , , , , Button 82, 82, 
, , , , , Button 83, 83, 
, , , , , Button 84, 84, 
, , , , , Button 85, 85, 
, , , , , Button 86, 86, 
, , , , , Button 87, 87, 
, , , , , Button 88, 88, 
, , , , , Button 89, 89, 
, , , , , Button 90, 90, 
, , , , , Button 91, 91, WHA ALARM
, , , , , Button 92, 92, WHA AUTO
, , , , , Button 93, 93, WHA AWAY
, , , , , Button 94, 94, WHA FLASH
, , , , , Button 95, 95, WHA PANIC
, , , , , Button 96, 96, WHA QUIET
, , , , , Button 97, 97, 
, , , , , Button 98, 98, 
, , , , , Button 99, 99, 
, , , , , Button 100, 100, 
, , , , , Led 1, 101
, , , , , Led 2, 102
, , , , , Led 3, 103
, , , , , Led 4, 104
, , , , , Led 5, 105
, , , , , Led 6, 106
, , , , , Led 7, 107
, , , , , Led 8, 108
, , , , , Led 9, 109
, , , , , Led 10, 110
, , , , , Led 11, 111
